"OBJECTID,N,9,0","Region,C,254","Division,C,254","ID,N,19,11","School,C,254","Municipali,C,254","Legislativ,C,254","Total_Enro,N,19,11","Total_Inst,N,19,11","Color_Code,C,254","Barangay,C,254","Province,C,254","District,C,254","Type_of_Sc,C,254","GPS_Source,C,50"
6560,CARAGA,Agusan del Sur,304713.00000000000,Guadalupe NHS,ESPERANZA,1st,404.00000000000,14.00000000000,Blue,Guadalupe,AGUSAN DEL SUR,Esperanza II,Mother school,SEDIP
6561,CARAGA,Agusan del Sur,304714.00000000000,Kasapa NHS,LORETO,2nd,92.00000000000,9.00000000000,Blue,Kasapa,AGUSAN DEL SUR,Loreto North,Mother school,SEDIP
6562,CARAGA,Agusan del Sur,304720.00000000000,Los Arcos NHS,PROSPERIDAD (Capital),1st,332.00000000000,9.00000000000,Blue,Los Arcos,AGUSAN DEL SUR,Prosperidad II,Mother school,SEDIP
6563,CARAGA,Agusan del Sur,317406.00000000000,La Fortuna NHS,VERUELA,2nd,507.00000000000,9.00000000000,Red,La Fortuna,AGUSAN DEL SUR,Veruela I,School with no Annexes,SEDIP
6564,CARAGA,Agusan del Sur,304717.00000000000,Lapinigan NHS,SAN FRANCISCO,2nd,793.00000000000,26.00000000000,Blue,Lapinigan,AGUSAN DEL SUR,San Francisco I,Mother school,SEDIP
6565,CARAGA,Agusan del Sur,304718.00000000000,Libertad NHS,BUNAWAN,2nd,513.00000000000,16.00000000000,Blue,Libertad,AGUSAN DEL SUR,Bunawan I,School with no Annexes,SEDIP
6566,CARAGA,Agusan del Sur,304722.00000000000,Lucena NHS,PROSPERIDAD (Capital),1st,532.00000000000,13.00000000000,Blue,Lucena,AGUSAN DEL SUR,Prosperidad II,Mother school,SEDIP
6567,CARAGA,Agusan del Sur,304739.00000000000,Laminga NHS,SAN LUIS,1st,344.00000000000,5.00000000000,Red,Don Alejandro,AGUSAN DEL SUR,San Luis I,School with no Annexes,SEDIP
6568,CARAGA,Agusan del Sur,304719.00000000000,Loreto NHS,LORETO,2nd,641.00000000000,17.00000000000,Blue,Poblacion,AGUSAN DEL SUR,Loreto South,Mother school,SEDIP
6569,CARAGA,Agusan del Sur,304716.00000000000,La Paz NHS,LA PAZ,2nd,611.00000000000,17.00000000000,Blue,Poblacion,AGUSAN DEL SUR,La Paz I,School with no Annexes,SEDIP
6570,CARAGA,Agusan del Sur,304741.00000000000,Sibagat NHS - Magsaysay Extension,SIBAGAT,2nd,96.00000000000,5.00000000000,Blue,Magsaysay,AGUSAN DEL SUR,Sibagat I,Annex or Extension school(s),SEDIP
6571,CARAGA,Agusan del Sur,304723.00000000000,Marcelina NHS,CITY OF BAYUGAN,1st,457.00000000000,12.00000000000,Blue,Marcelina,AGUSAN DEL SUR,Bayugan East,Mother school,SEDIP
6572,CARAGA,Agusan del Sur,304725.00000000000,Mt. Carmel NHS,CITY OF BAYUGAN,1st,166.00000000000,5.00000000000,Blue,Mt. Carmel,AGUSAN DEL SUR,Bayugan East,School with no Annexes,SEDIP
6573,CARAGA,Agusan del Sur,304728.00000000000,Noli NHS,CITY OF BAYUGAN,1st,456.00000000000,14.00000000000,Blue,Noli,AGUSAN DEL SUR,Bayugan East,Mother school,SEDIP
6574,CARAGA,Agusan del Sur,304743.00000000000,Sibagat NHS - Padiay Extension,SIBAGAT,2nd,137.00000000000,4.00000000000,Blue,Padiay,AGUSAN DEL SUR,Sibagat I,Annex or Extension school(s),SEDIP
6575,CARAGA,Agusan del Sur,304731.00000000000,Prosperidad NHS,PROSPERIDAD (Capital),1st,1119.00000000000,22.00000000000,Yellow,Poblacion,AGUSAN DEL SUR,Prosperidad I,Mother school,SEDIP
6576,CARAGA,Agusan del Sur,304732.00000000000,Salvacion NHS,CITY OF BAYUGAN,1st,404.00000000000,6.00000000000,Red,Salvacion,AGUSAN DEL SUR,Bayugan East,School with no Annexes,SEDIP
6577,CARAGA,Agusan del Sur,304744.00000000000,Sta. Cruz NHS,ROSARIO,2nd,466.00000000000,9.00000000000,Gold,Sta. Cruz,AGUSAN DEL SUR,Rosario I,Mother school,SEDIP
6578,CARAGA,Agusan del Sur,304749.00000000000,Sta. Irene NHS,PROSPERIDAD (Capital),1st,598.00000000000,17.00000000000,Blue,Sta. Irene,AGUSAN DEL SUR,Prosperidad I,Mother school,SEDIP
6579,CARAGA,Agusan del Sur,304734.00000000000,San Isidro NHS,LORETO,2nd,298.00000000000,9.00000000000,Blue,San Isidro,AGUSAN DEL SUR,Loreto North,Mother school,SEDIP
6580,CARAGA,Agusan del Sur,304735.00000000000,SAN JUAN NATIONAL HIGH SCHOOL,CITY OF BAYUGAN,1st,575.00000000000,6.00000000000,Red,San Juan,AGUSAN DEL SUR,Bayugan East,Mother school,SEDIP
6581,CARAGA,Agusan del Sur,304750.00000000000,Sta. Josefa NHS,SANTA JOSEFA,2nd,1400.00000000000,34.00000000000,Blue,Poblacion,AGUSAN DEL SUR,Sta. Josefa,Mother school,SEDIP
6582,CARAGA,Agusan del Sur,304737.00000000000,Anislagan NHS,SAN LUIS,1st,229.00000000000,8.00000000000,Blue,Anislagan,AGUSAN DEL SUR,San Luis I,School with no Annexes,SEDIP
6583,CARAGA,Agusan del Sur,304736.00000000000,San Luis NHS,SAN LUIS,1st,1033.00000000000,22.00000000000,Yellow,Do±a Maxima,AGUSAN DEL SUR,San Luis I,Mother school,SEDIP
6584,CARAGA,Agusan del Sur,304705.00000000000,Sta. Maria NHS,TRENTO,2nd,391.00000000000,12.00000000000,Blue,Sta. Maria,AGUSAN DEL SUR,Trento I,School with no Annexes,SEDIP
6585,CARAGA,Agusan del Sur,304740.00000000000,SIBAGAT NATIONAL HIGH SCHOOL OF HOME INDUSTRIES,SIBAGAT,1st,817.00000000000,30.00000000000,Blue,Poblacion,AGUSAN DEL SUR,Sibagat I,Mother school,SEDIP
6586,CARAGA,Agusan del Sur,304733.00000000000,Sampaguita NHS,VERUELA,2nd,510.00000000000,15.00000000000,Blue,Sampaguita,AGUSAN DEL SUR,Veruela I,School with no Annexes,SEDIP
6587,CARAGA,Agusan del Sur,304751.00000000000,Sto. Tomas NHS,LORETO,2nd,217.00000000000,12.00000000000,Blue,Sto Tomas,AGUSAN DEL SUR,Loreto South,Mother school,SEDIP
6588,CARAGA,Agusan del Sur,304752.00000000000,Talacogon NHS,TALACOGON,1st,763.00000000000,26.00000000000,Blue,San Nicolas,AGUSAN DEL SUR,Talacogon West,Mother school,SEDIP
6589,CARAGA,Agusan del Sur,304753.00000000000,Trento NHS,TRENTO,2nd,1937.00000000000,47.00000000000,Blue,Poblacion,AGUSAN DEL SUR,Trento I,Mother school,SEDIP
6590,CARAGA,Agusan del Sur,304754.00000000000,Veruela NHS,VERUELA,2nd,437.00000000000,15.00000000000,Blue,Poblacion,AGUSAN DEL SUR,Veruela I,Mother school,SEDIP
6591,CARAGA,Agusan del Sur,304755.00000000000,Zillovia NHS,TALACOGON,1st,697.00000000000,12.00000000000,Red,Zillovia,AGUSAN DEL SUR,Talacogon West,School with no Annexes,SEDIP
6592,CARAGA,Agusan del Sur,304724.00000000000,Marcelina NHS - Mount Olive NHS Annex,CITY OF BAYUGAN,1st,87.00000000000,4.00000000000,Blue,Mt. Olive,AGUSAN DEL SUR,Bayugan East,Annex or Extension school(s),SEDIP
6593,CARAGA,Agusan del Sur,304729.00000000000,Noli NHS - Calaitan NHS Annex,CITY OF BAYUGAN,1st,166.00000000000,5.00000000000,Blue,Calaitan,AGUSAN DEL SUR,Bayugan East,Annex or Extension school(s),SEDIP
6594,CARAGA,Agusan del Sur,304715.00000000000,Kasapa NHS - Waloe NHS Annex,LORETO,2nd,145.00000000000,1.00000000000,Red,Waloe,AGUSAN DEL SUR,Loreto North,Annex or Extension school(s),SEDIP
6595,CARAGA,Agusan del Sur,304721.00000000000,Mabuhay National High School,PROSPERIDAD (Capital),1st,160.00000000000,5.00000000000,Blue,Mabuhay,AGUSAN DEL SUR,Prosperidad I,Annex or Extension school(s),SEDIP
6596,CARAGA,Agusan del Sur,304745.00000000000,Bayugan III NHS,ROSARIO,2nd,366.00000000000,12.00000000000,Blue,Bayugan 3,AGUSAN DEL SUR,Rosario II,School with no Annexes,SEDIP
6597,CARAGA,Agusan del Sur,304748.00000000000,Marfil NHS,ROSARIO,2nd,143.00000000000,7.00000000000,Blue,Marfil,AGUSAN DEL SUR,Rosario I,School with no Annexes,SEDIP
6598,CARAGA,Agusan del Sur,304738.00000000000,Cecilia NHS,SAN LUIS,1st,206.00000000000,4.00000000000,Gold,Cecilia,AGUSAN DEL SUR,San Luis I,School with no Annexes,SEDIP
6599,CARAGA,Agusan del Sur,304726.00000000000,New Tubigon HS of Home Ind.,SIBAGAT,1st,74.00000000000,6.00000000000,Blue,New Tubigon,AGUSAN DEL SUR,Sibagat I,School with no Annexes,SEDIP
6600,CARAGA,Surigao del Sur,132569.00000000000,Amaga ES,BAROBO,2nd,404.00000000000,5.00000000000,Red,Amaga,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6601,CARAGA,Surigao del Sur,132571.00000000000,Bahi ES,BAROBO,2nd,269.00000000000,6.00000000000,Blue,Bahi,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6602,CARAGA,Surigao del Sur,132572.00000000000,Barobo CES,BAROBO,2nd,1346.00000000000,34.00000000000,Blue,Poblacion,SURIGAO DEL SUR,Barobo I,School with no Annexes,SEDIP
6603,CARAGA,Surigao del Sur,132575.00000000000,Campbagang ES,BAROBO,2nd,304.00000000000,5.00000000000,Red,Campbagang,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6604,CARAGA,Surigao del Sur,132576.00000000000,Causwagan ES,BAROBO,2nd,105.00000000000,4.00000000000,Blue,Causwagan,SURIGAO DEL SUR,Barobo I,School with no Annexes,SEDIP
6605,CARAGA,Surigao del Sur,132577.00000000000,Dapdap ES,BAROBO,2nd,214.00000000000,6.00000000000,Blue,Dapdap,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6606,CARAGA,Surigao del Sur,132579.00000000000,Dughan ES,BAROBO,2nd,189.00000000000,3.00000000000,Red,Dughan,SURIGAO DEL SUR,Barobo I,School with no Annexes,SEDIP
6607,CARAGA,Surigao del Sur,132582.00000000000,Javier ES,BAROBO,2nd,304.00000000000,6.00000000000,Yellow,Javier,SURIGAO DEL SUR,Barobo I,School with no Annexes,SEDIP
6608,CARAGA,Surigao del Sur,132583.00000000000,Kinayan ES,BAROBO,2nd,203.00000000000,6.00000000000,Blue,Kinayan,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6609,CARAGA,Surigao del Sur,132587.00000000000,Mamis ES,BAROBO,2nd,83.00000000000,3.00000000000,Blue,Mamis,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6610,CARAGA,Surigao del Sur,132589.00000000000,Rizal ES,BAROBO,2nd,265.00000000000,5.00000000000,Gold,Rizal,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6611,CARAGA,Surigao del Sur,132590.00000000000,San Jose ES,BAROBO,2nd,172.00000000000,6.00000000000,Blue,San Jose,SURIGAO DEL SUR,Barobo I,School with no Annexes,SEDIP
6612,CARAGA,Surigao del Sur,132592.00000000000,San Vicente ES,BAROBO,2nd,182.00000000000,6.00000000000,Blue,San Vicente,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6613,CARAGA,Surigao del Sur,132594.00000000000,Sua ES,BAROBO,2nd,159.00000000000,4.00000000000,Blue,Sua,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6614,CARAGA,Surigao del Sur,132596.00000000000,Talisay Seaside ES,BAROBO,2nd,417.00000000000,8.00000000000,Gold,Poblacion,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6615,CARAGA,Surigao del Sur,132599.00000000000,Wakat ES,BAROBO,2nd,326.00000000000,3.00000000000,Red,Wakat,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6616,CARAGA,Surigao del Sur,132597.00000000000,Tambis CES,BAROBO,2nd,435.00000000000,10.00000000000,Blue,Tambis,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6617,CARAGA,Surigao del Sur,132578.00000000000,Dinuyan ES,BAROBO,2nd,699.00000000000,11.00000000000,Red,Tambis,SURIGAO DEL SUR,Barobo II,School with no Annexes,SEDIP
6618,CARAGA,Surigao del Sur,132906.00000000000,Magsaysay ES,TAGBINA,2nd,141.00000000000,6.00000000000,Blue,Magsaysay,SURIGAO DEL SUR,Tagbina I,School with no Annexes,SEDIP
6619,CARAGA,Surigao del Sur,132914.00000000000,Quezon ES,TAGBINA,2nd,295.00000000000,7.00000000000,Blue,Quezon,SURIGAO DEL SUR,Tagbina I,School with no Annexes,SEDIP
6620,CARAGA,Bislig City,132626.00000000000,Pamaypayan ES,CITY OF BISLIG,2nd,204.00000000000,5.00000000000,Blue,Pamaypayan,SURIGAO DEL SUR,Bislig City I,Mother school,SEDIP
6621,CARAGA,Bislig City,132630.00000000000,San Antonio ES,CITY OF BISLIG,2nd,166.00000000000,4.00000000000,Blue,San Antonio,SURIGAO DEL SUR,Bislig City I,School with no Annexes,SEDIP
6622,CARAGA,Bislig City,132633.00000000000,Gaspar-Serrano ES,CITY OF BISLIG,2nd,420.00000000000,10.00000000000,Blue,San Jose,SURIGAO DEL SUR,Bislig City I,School with no Annexes,SEDIP
6623,CARAGA,Surigao del Sur,132786.00000000000,Barcelona CES,LINGIG,2nd,556.00000000000,10.00000000000,Gold,Barcelona,SURIGAO DEL SUR,Lingig II,School with no Annexes,SEDIP
6624,CARAGA,Surigao del Sur,132811.00000000000,Sunrise-Campo PS,LINGIG,2nd,20.00000000000,1.00000000000,Blue,Barcelona,SURIGAO DEL SUR,Lingig II,School with no Annexes,SEDIP
6625,CARAGA,Surigao del Sur,132813.00000000000,Tagbobo PS,LINGIG,2nd,30.00000000000,1.00000000000,Blue,Tagpupuran,SURIGAO DEL SUR,Lingig II,School with no Annexes,SEDIP
6626,CARAGA,Surigao del Sur,132814.00000000000,Tagpupuran ES,LINGIG,2nd,126.00000000000,2.00000000000,Red,Tagpupuran,SURIGAO DEL SUR,Lingig II,School with no Annexes,SEDIP
6627,CARAGA,Surigao del Sur,132815.00000000000,Taw-aga ES,LINGIG,2nd,46.00000000000,0.00000000000,Black,Salvacion,SURIGAO DEL SUR,Lingig II,School with no Annexes,SEDIP
6628,CARAGA,Surigao del Sur,132802.00000000000,Mendezona PS,LINGIG,2nd,26.00000000000,4.00000000000,Blue,Rajah Cabungsuan,SURIGAO DEL SUR,Lingig II,School with no Annexes,SEDIP
6629,CARAGA,Surigao del Sur,132705.00000000000,Balibadon ES,CORTES,1st,161.00000000000,4.00000000000,Blue,Balibadon,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6630,CARAGA,Surigao del Sur,132706.00000000000,Banuison ES,CORTES,1st,72.00000000000,2.00000000000,Blue,Burgos,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6631,CARAGA,Surigao del Sur,132707.00000000000,Burgos ES,CORTES,1st,457.00000000000,12.00000000000,Blue,Burgos,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6632,CARAGA,Surigao del Sur,132708.00000000000,Capandan ES,CORTES,1st,76.00000000000,2.00000000000,Blue,Capandan,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6633,CARAGA,Surigao del Sur,132709.00000000000,Cortes CES,CORTES,1st,429.00000000000,13.00000000000,Blue,Poblacion,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6634,CARAGA,Surigao del Sur,132710.00000000000,Lubcon ES,CORTES,1st,228.00000000000,3.00000000000,Red,Mabahin,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6635,CARAGA,Surigao del Sur,132711.00000000000,Mabahin ES,CORTES,1st,191.00000000000,6.00000000000,Blue,Mabahin,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6636,CARAGA,Surigao del Sur,132712.00000000000,Madrelino ES,CORTES,1st,111.00000000000,6.00000000000,Blue,Madreli±o,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6637,CARAGA,Surigao del Sur,132713.00000000000,Manlico ES,CORTES,1st,87.00000000000,3.00000000000,Blue,Manlico,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6638,CARAGA,Surigao del Sur,132714.00000000000,Matho ES,CORTES,1st,189.00000000000,7.00000000000,Blue,Matho,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6639,CARAGA,Surigao del Sur,132715.00000000000,Tag-anungan ES,CORTES,1st,97.00000000000,3.00000000000,Blue,Tag-anungan,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6640,CARAGA,Surigao del Sur,132716.00000000000,Tigao ES,CORTES,1st,342.00000000000,14.00000000000,Blue,Tigao,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6641,CARAGA,Surigao del Sur,132927.00000000000,Tuburan PS,TAGBINA,2nd,65.00000000000,3.00000000000,Blue,Carpenito,SURIGAO DEL SUR,Tagbina I,School with no Annexes,SEDIP
6642,CARAGA,Surigao del Sur,132718.00000000000,Uba ES,CORTES,1st,137.00000000000,3.00000000000,Blue,Uba,SURIGAO DEL SUR,Cortes,School with no Annexes,SEDIP
6643,CARAGA,Surigao del Sur,132765.00000000000,Nurcia ES,LANUZA,1st,161.00000000000,7.00000000000,Blue,Nurcia,SURIGAO DEL SUR,Lanuza,School with no Annexes,SEDIP
6644,CARAGA,Surigao del Sur,132957.00000000000,Awasian ES,CITY OF TANDAG (Capital),1st,220.00000000000,8.00000000000,Blue,Awasian,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6645,CARAGA,Surigao del Sur,132959.00000000000,Bioto ES,CITY OF TANDAG (Capital),1st,154.00000000000,3.00000000000,Gold,Bioto,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6646,CARAGA,Surigao del Sur,132961.00000000000,Buenavista ES,CITY OF TANDAG (Capital),1st,433.00000000000,17.00000000000,Blue,Buenavista,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6647,CARAGA,Surigao del Sur,132964.00000000000,Engr. Nestor Ty MES,CITY OF TANDAG (Capital),1st,609.00000000000,16.00000000000,Blue,San Agustin Sur,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6648,CARAGA,Surigao del Sur,132970.00000000000,Pangi ES,CITY OF TANDAG (Capital),1st,120.00000000000,6.00000000000,Blue,Pangi,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6649,CARAGA,Surigao del Sur,132971.00000000000,Quezon ES,CITY OF TANDAG (Capital),1st,222.00000000000,10.00000000000,Blue,Quezon,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6650,CARAGA,Surigao del Sur,132974.00000000000,San Agustin ES,CITY OF TANDAG (Capital),1st,364.00000000000,10.00000000000,Blue,San Agustin Norte,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6651,CARAGA,Surigao del Sur,132975.00000000000,San Antonio ES,CITY OF TANDAG (Capital),1st,106.00000000000,3.00000000000,Blue,San Antonio,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6652,CARAGA,Surigao del Sur,132978.00000000000,Tandag CES,CITY OF TANDAG (Capital),1st,624.00000000000,8.00000000000,Red,Bag-ong Lungsod,SURIGAO DEL SUR,Tandag II,School with no Annexes,SEDIP
6653,CARAGA,Surigao del Sur,132979.00000000000,Tandag Pilot ES,CITY OF TANDAG (Capital),1st,1443.00000000000,40.00000000000,Blue,Bag-ong Lungsod,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6654,CARAGA,Surigao del Sur,132980.00000000000,Telaje ES,CITY OF TANDAG (Capital),1st,1099.00000000000,31.00000000000,Blue,Telaje,SURIGAO DEL SUR,Tandag II,School with no Annexes,SEDIP
6655,CARAGA,Surigao del Sur,132960.00000000000,Bongtud ES,CITY OF TANDAG (Capital),1st,589.00000000000,12.00000000000,Yellow,Bungtod,SURIGAO DEL SUR,Tandag I,School with no Annexes,SEDIP
6656,CARAGA,Surigao del Sur,132655.00000000000,Agsam PS,CANTILAN,1st,15.00000000000,1.00000000000,Blue,Cabas-an,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6657,CARAGA,Surigao del Sur,132656.00000000000,Batoto PS,CANTILAN,1st,15.00000000000,1.00000000000,Blue,Cabangahan,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6658,CARAGA,Surigao del Sur,132659.00000000000,Cabas-an ES,CANTILAN,1st,156.00000000000,6.00000000000,Blue,Cabas-an,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6659,CARAGA,Surigao del Sur,132675.00000000000,Lubo ES,CANTILAN,1st,83.00000000000,3.00000000000,Blue,Lubo,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6660,CARAGA,Surigao del Sur,132665.00000000000,Sibayoto PS,CANTILAN,1st,17.00000000000,1.00000000000,Blue,Tigabong,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6661,CARAGA,Surigao del Sur,132688.00000000000,Adlay Comm. Sch.,CARRASCAL,1st,746.00000000000,19.00000000000,Blue,Adlay,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6662,CARAGA,Surigao del Sur,132689.00000000000,Antonio Yu Carcel PS,CARRASCAL,1st,47.00000000000,2.00000000000,Blue,Bon-ot,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6663,CARAGA,Surigao del Sur,132690.00000000000,Babuyan ES,CARRASCAL,1st,86.00000000000,3.00000000000,Blue,Babuyan,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6664,CARAGA,Surigao del Sur,132694.00000000000,Camp David PS,CARRASCAL,1st,29.00000000000,2.00000000000,Blue,Panikian,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6665,CARAGA,Surigao del Sur,132700.00000000000,Panikian ES,CARRASCAL,1st,277.00000000000,15.00000000000,Blue,Panikian,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6666,CARAGA,Surigao del Sur,132701.00000000000,Pantukan PS,CARRASCAL,1st,131.00000000000,4.00000000000,Blue,Pantukan,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6667,CARAGA,Surigao del Sur,132697.00000000000,Maicam PS,CARRASCAL,1st,29.00000000000,1.00000000000,Blue,Panikian,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6668,CARAGA,Surigao del Sur,132702.00000000000,Segunda R. Cuajao MES,CARRASCAL,1st,170.00000000000,6.00000000000,Blue,Gamuton,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6669,CARAGA,Surigao del Sur,132685.00000000000,Gacub ES,CARMEN,1st,212.00000000000,7.00000000000,Blue,Hinapuyan,SURIGAO DEL SUR,Carmen,School with no Annexes,SEDIP
6670,CARAGA,Surigao del Sur,132686.00000000000,Hinapuyan ES,CARMEN,1st,158.00000000000,6.00000000000,Blue,Hinapoyan,SURIGAO DEL SUR,Carmen,School with no Annexes,SEDIP
6671,CARAGA,Surigao del Sur,132821.00000000000,Bayogo Elementary School,MADRID,1st,141.00000000000,6.00000000000,Blue,Bayogo,SURIGAO DEL SUR,Madrid,School with no Annexes,SEDIP
6672,CARAGA,Surigao del Sur,132829.00000000000,San Roque ES,MADRID,1st,91.00000000000,7.00000000000,Blue,San Roque,SURIGAO DEL SUR,Madrid,School with no Annexes,SEDIP
6673,CARAGA,Surigao del Sur,132879.00000000000,Inadan PS,SAN MIGUEL,1st,66.00000000000,2.00000000000,Blue,Magroyong,SURIGAO DEL SUR,San Miguel II,School with no Annexes,SEDIP
6674,CARAGA,Surigao del Sur,132869.00000000000,Bagyang ES,SAN MIGUEL,1st,198.00000000000,3.00000000000,Red,Bagyang,SURIGAO DEL SUR,San Miguel II,School with no Annexes,SEDIP
6675,CARAGA,Surigao del Sur,132872.00000000000,Bitaugan ES,SAN MIGUEL,1st,291.00000000000,5.00000000000,Red,Bitaugan,SURIGAO DEL SUR,San Miguel II,School with no Annexes,SEDIP
6676,CARAGA,Surigao del Sur,132874.00000000000,Calatngan ES,SAN MIGUEL,1st,210.00000000000,3.00000000000,Red,Calatngan,SURIGAO DEL SUR,San Miguel II,School with no Annexes,SEDIP
6677,CARAGA,Surigao del Sur,132891.00000000000,Umalag ES,SAN MIGUEL,1st,139.00000000000,3.00000000000,Yellow,Umalag,SURIGAO DEL SUR,San Miguel I,School with no Annexes,SEDIP
6678,CARAGA,Surigao del Sur,132703.00000000000,Tabon-tabon ES,CARRASCAL,1st,97.00000000000,4.00000000000,Blue,Bacolod,SURIGAO DEL SUR,Carrascal,School with no Annexes,SEDIP
6679,CARAGA,Surigao del Sur,132676.00000000000,N.A. Uriarte MES,CANTILAN,1st,216.00000000000,8.00000000000,Blue,Pag-antayan,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6680,CARAGA,Surigao del Sur,132667.00000000000,Ayoke ES,CANTILAN,1st,95.00000000000,2.00000000000,Yellow,Isla General,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6681,CARAGA,Surigao del Sur,132668.00000000000,Cherry T. Coleto ES (Baybay I ES),CANTILAN,1st,174.00000000000,9.00000000000,Blue,San Pedro,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6682,CARAGA,Surigao del Sur,132669.00000000000,Bugsukan ES,CANTILAN,1st,163.00000000000,8.00000000000,Blue,Bugsukan,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6683,CARAGA,Surigao del Sur,132660.00000000000,Cabitoonan PS,CANTILAN,1st,17.00000000000,1.00000000000,Blue,Consuelo,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6684,CARAGA,Surigao del Sur,132670.00000000000,Calagdaan ES,CANTILAN,1st,188.00000000000,6.00000000000,Blue,Calagdaan,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6685,CARAGA,Surigao del Sur,132671.00000000000,Cantilan East CES,CANTILAN,1st,857.00000000000,21.00000000000,Blue,Magosilom,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6686,CARAGA,Surigao del Sur,132661.00000000000,Cantilan Pilot ES,CANTILAN,1st,692.00000000000,27.00000000000,Blue,Linintian,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6687,CARAGA,Surigao del Sur,132662.00000000000,Consuelo ES,CANTILAN,1st,189.00000000000,7.00000000000,Blue,Consuelo,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6688,CARAGA,Surigao del Sur,132672.00000000000,Domoyog PS,CANTILAN,1st,11.00000000000,1.00000000000,Blue,Calagdaan,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6689,CARAGA,Surigao del Sur,132674.00000000000,Isla General ES,CANTILAN,1st,85.00000000000,3.00000000000,Blue,Isla General,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6690,CARAGA,Surigao del Sur,132663.00000000000,Magasang ES,CANTILAN,1st,153.00000000000,7.00000000000,Blue,Magasang,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
6691,CARAGA,Surigao del Sur,132677.00000000000,Palasao ES,CANTILAN,1st,181.00000000000,9.00000000000,Blue,Palasao,SURIGAO DEL SUR,Cantilan II,School with no Annexes,SEDIP
6692,CARAGA,Surigao del Sur,132664.00000000000,Parang ES,CANTILAN,1st,463.00000000000,16.00000000000,Blue,Parang,SURIGAO DEL SUR,Cantilan I,School with no Annexes,SEDIP
